"variableName","Labels","labelValues","fileFormat"
"tt3g04","First teaching qualification","A <REGULAR CONCURRENT TEACHER EDUCATION OR TRAINING PROGRAMME>; A <REGULAR CONSECUTIVE TEACHER EDUCATION OR TRAINING PROGRAMME>; AN <FAST-TRACK OR SPECIALISED TEACHER EDUCATION OR TRAINING PROGRAMME>; <EDUCATION OR TRAINING> IN ANOTHER PEDAGOGICAL PROFESSION; SUBJECT-SPECIFIC <EDUCATION OR TRAINING> ONLY; I HAVE NO FORMAL QUALIFICATION RELATED TO THE SUBJECT I AM TEACHING OR TO ANY TYPE OF PEDAGOGICAL EDUCATION. --> YOU WIL; OTHER; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g05","Year of completion formal education or training  that qualified to teach","LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06a1","Elements in form. educ. Content of some or all subject(s) I teach","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06a2","Prep. for tch. elements Content of some or all subject(s) I teach","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06b1","Elements in form. educ. Pedagogy of some or all subject(s) I teach","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06b2","Prep. for tch. elements Pedagogy of some or all subject(s) I teach","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06c1","Elements in form. educ. General pedagogy","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06c2","Prep. for tch. elements General pedagogy","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06d1","Elements in form. educ. Classroom practice in some or all subject(s) I teach","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06d2","Prep. for tch. elements Classroom practice in some or all subject(s) I teach","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06e1","Elements in form. educ. Teaching in a mixed ability setting","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06e2","Prep. for tch. elements Teaching in a mixed ability setting","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06f1","Elements in form. educ. Teaching in a multicultural or multilingual setting","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06f2","Prep. for tch. elements Teaching in a multicultural or multilingual setting","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06g1","Elements in form. educ. Teaching cross-curricular skills","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06g2","Prep. for tch. elements Teaching cross-curricular skills","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06h1","Elements in form. educ. Use of ICT for teaching","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06h2","Prep. for tch. elements Use of ICT for teaching","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06i1","Elements in form. educ. Student behaviour and classroom management","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06i2","Prep. for tch. elements Student behaviour and classroom management","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06j1","Elements in form. educ. Monitoring students development and learning","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06j2","Prep. for tch. elements Monitoring students development and learning","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06k1","Elements in form. educ. Facilitating students transitions","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06k2","Prep. for tch. elements Facilitate stud. transitions from ISCED level 0 to 1","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06l1","Elements in form. educ. Facilitating play","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g06l2","Prep. for tch. elements Facilitating play","NOT AT ALL; SOMEWHAT; WELL; VERY WELL; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g07a","Imp. to become tch Teaching offered a steady career path","NOT IMPORTANT AT ALL; OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g07b","Imp. to become tch Teaching provided a reliable income","NOT IMPORTANT AT ALL; OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g07c","Imp. to become tch Teaching was a secure job","NOT IMPORTANT AT ALL; OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g07d","Imp. to become tch The teaching schedule fit w responsibilities in my perso life","NOT IMPORTANT AT ALL; OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g07e","Imp. to become tch Teaching allowed me to infl dev of children and young people","NOT IMPORTANT AT ALL; OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g07f","Imp. to become tch Teaching allowed me to benefit the socially disadvantaged","NOT IMPORTANT AT ALL; OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g07g","Imp. to become tch Teaching allowed me to provide a contribution to society","NOT IMPORTANT AT ALL; OF LOW IMPORTANCE; OF MODERATE IMPORTANCE; OF HIGH IMPORTANCE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g08","Teaching as the first choice as a career","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g09","Employment status as a teacher at this school","PERMANENT EMPLOYMENT (AN ON-GOING CONTRACT WITH NO FIXED END-POINT BEFORE THE AGE OF RETIREMENT); FIXED-TERM CONTRACT FOR A PERIOD OF MORE THAN 1 SCHOOL YEAR; FIXED-TERM CONTRACT FOR A PERIOD OF 1 SCHOOL YEAR OR LESS; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g10a","Curr. emply. status as a tch (working h) My employment status at this school","FULL-TIME (MORE THAN 90% OF FULL-TIME HOURS); PART-TIME (71-90% OF FULL-TIME HOURS); PART-TIME (50-70% OF FULL-TIME HOURS); PART-TIME (LESS THAN 50% OF FULL-TIME HOURS); NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g10b","Curr. emply. status as a tch (working h) All my teaching employments together","FULL-TIME (MORE THAN 90% OF FULL-TIME HOURS); PART-TIME (71-90% OF FULL-TIME HOURS); PART-TIME (50-70% OF FULL-TIME HOURS); PART-TIME (LESS THAN 50% OF FULL-TIME HOURS); NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g11a","Experiences As a teacher at this school","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g11b","Experiences As a teacher in total","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g11c","Experiences In other education role as a teachers","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g11d","Experiences In other non-education roles","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g12","Currently working as a tch of ISCED 2011 level x 15-year-olds at another school","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g13","Count of other schools currently work as a teacher teach to 15-year-old student","LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g14","Count of special needs students","NONE; SOME; MOST; ALL; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15a1","Subject cat. inc in form.educ. and train Reading","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15a2","Subjects taught in current school year Reading","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15b1","Subject cat. inc in form.educ. and train Mathematics","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15b2","Subjects taught in current school year Mathematics","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15c1","Subject cat. inc in form.educ. and train Science","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15c2","Subjects taught in current school year Science","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15d1","Subject cat. inc in form.educ. and train Social studies","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15d2","Subjects taught in current school year Social studies","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15e1","Subject cat. inc in form.educ. and train Modern foreign languages","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15e2","Subjects taught in current school year Modern foreign languages","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15f1","Subject cat. inc in form.educ. and train Ancient Greek and or Latin","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15f2","Subjects taught in current school year Ancient Greek and or Latin","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15g1","Subject cat. inc in form.educ. and train Technology","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15g2","Subjects taught in current school year Technology","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15h1","Subject cat. inc in form.educ. and train Arts","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15h2","Subjects taught in current school year Arts","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15i1","Subject cat. inc in form.educ. and train Physical education","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15i2","Subjects taught in current school year Physical education","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15j1","Subject cat. inc in form.educ. and train Religion and or ethics","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15j2","Subjects taught in current school year Religion and or ethics","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15k1","Subject cat. inc in form.educ. and train Practical and vocational skills","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15k2","Subjects taught in current school year Practical and vocational skills","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15l1","Subject cat. inc in form.educ. and train Other","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g15l2","Subjects taught in current school year Other","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g16","Total hours spent on tasks related to job at this school","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g17","Hours spent on teaching at this school during most recent complete calendar week","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18a","Hours spent on tasks Indiv. planning or preparation of lessons","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18b","Hours spent on tasks Team work and dialogue w. colleagues within school","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18c","Hours spent on tasks Marking correcting of student work","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18d","Hours spent on tasks Counselling students","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18e","Hours spent on tasks Participation in school management","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18f","Hours spent on tasks General administrative work","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18g","Hours spent on tasks Professional development activities","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18h","Hours spent on tasks Communication and co-operation with parents","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18i","Hours spent on tasks Engaging in extracurricular activities","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g18j","Hours spent on tasks Other work tasks","NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g19a1","Take part in induction activities Formal induction programme - Yes at first emp","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g19a2","Take part in induction activities Formal induction programme- Yes, at school","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g19a3","Take part in induction activities Formal induction programme - No","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g19b1","Take part in induction activities Informal induction activities - Yes first emp","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g19b2","Take part in induction activities Informal induction activities - Yes, at school","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g19b3","Take part in induction activities Informal induction activities - No","CHECKED; NOT CHECKED; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20a","Provisions part of induction In-person courses seminars","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20b","Provisions part of induction Online courses seminars","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20c","Provisions part of induction Online activities (e.g. virtual communities)","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20d","Provisions part of induction Planned meetings with principal/exp colleagues","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20e","Provisions part of induction Supervision by principal/exp colleagues","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20f","Provisions part of induction Networking collaboration with other new teachers","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20g","Provisions part of induction Team teaching with experienced teachers","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20h","Provisions part of induction Portfolios diaries/journals","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20i","Provisions part of induction Reduced teaching load","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g20j","Provisions part of induction General administrative introduction","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g21a","Inv. in ment. act. I currently have an assigned mentor to support me","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g21b","Inv. in ment. act. I am currently assigned mentor for one or more teacher","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22a","Prof.dev. act. In-person courses seminars","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22b","Prof.dev. act. Online courses seminars","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22c","Prof.dev. act. Education conferences - T","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22d","Prof.dev. act. Formal qualification programme - T","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22e","Prof.dev. act. Observation visits to other schools","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22f","Prof.dev. act. Observation visits to business premises","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22g","Prof.dev. act. Peer and or self-observation and coaching - T","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22h","Prof.dev. act. Participation in a network of teachers","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22i","Prof.dev. act. Reading professional literature - T","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g22j","Prof.dev. act.Other","YES; NO; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23a","Areas prof.dev. Knowledge and understanding of subject field(s)","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23b","Areas prof.dev. Pedagogical competencies in teaching subject field(s)","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23c","Areas prof.dev. Knowledge of the curriculum","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23d","Areas prof.dev. Student assessment practices","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"tt3g23e","Areas prof.dev. ICT skills for teaching","YES; NO; LOGICALLY NOT APPLICABLE; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
